"work_year","experience_level","job_title","employee_residence","company_location","company_size"
"2022","MI","Machine Learning Engineer","US","US","M"
"2022","MI","Machine Learning Engineer","US","US","M"
"2022","MI","Data Scientist","US","US","M"
"2022","MI","Data Scientist","US","US","M"
"2022","MI","Data Scientist","US","US","M"
"2022","MI","Data Scientist","US","US","M"
"2022","SE","Data Engineer","US","US","M"
"2022","SE","Data Engineer","US","US","M"
"2022","SE","Data Scientist","US","US","M"
"2022","SE","Data Scientist","US","US","M"
"2022","SE","Data Scientist","ES","ES","M"
"2022","SE","Data Scientist","ES","ES","M"
"2022","EX","Head of Data","US","US","M"
"2022","EX","Head of Data","US","US","M"
"2022","SE","Data Analyst","US","US","M"
"2022","SE","Data Analyst","US","US","M"
"2022","EN","Data Engineer","GB","GB","M"
"2022","EN","Data Engineer","GB","GB","M"
"2022","SE","Data Engineer","US","US","M"
"2022","SE","Data Engineer","US","US","M"
"2022","SE","Data Scientist","US","US","M"
"2022","SE","Data Scientist","US","US","M"
"2022","SE","Data Engineer","US","US","M"
"2022","SE","Data Engineer","US","US","M"
"2022","SE","Data Engineer","US","US","M"
"2022","SE","Data Engineer","US","US","M"
"2022","SE","Data Scientist","US","US","L"
"2022","SE","Data Scientist","US","US","L"
"2022","SE","Data Engineer","US","US","M"
"2022","SE","Data Engineer","US","US","M"
"2022","SE","Data Scientist","US","US","M"
"2022","SE","Data Scientist","US","US","M"
"2022","MI","Data Analyst","US","US","M"
"2022","MI","Data Analyst","US","US","M"
"2022","SE","Data Analyst","US","US","M"
"2022","SE","Data Analyst","US","US","M"
"2022","MI","Data Scientist","GB","GB","M"
"2022","EN","Data Analyst","US","US","L"
"2022","EN","Data Scientist","FR","FR","L"
"2022","SE","Machine Learning Engineer","CA","CA","M"
"2022","SE","Machine Learning Engineer","CA","CA","M"
"2022","SE","Data Analyst","US","US","M"
"2022","SE","Data Analyst","US","US","M"
"2022","SE","Data Engineer","US","US","M"
"2022","SE","Data Engineer","US","US","M"
"2022","SE","Data Scientist","US","US","M"
"2022","SE","Data Scientist","US","US","M"
"2022","EN","BI Analyst","US","US","L"
"2022","SE","Data Analyst","US","US","M"
"2022","SE","Data Analyst","US","US","M"
"2022","SE","Data Analyst","US","US","M"
"2022","SE","Data Analyst","US","US","M"
"2022","SE","Analytics Engineer","GB","GB","M"
"2022","SE","Analytics Engineer","GB","GB","M"
"2022","SE","Data Analyst","US","US","M"
"2022","SE","Data Analyst","US","US","M"
"2022","SE","Data Engineer","US","US","M"
"2022","SE","Data Engineer","US","US","M"
"2022","SE","Data Scientist","US","US","M"
"2022","SE","Data Scientist","US","US","M"
"2022","SE","Data Scientist","US","US","M"
"2022","SE","Data Scientist","US","US","M"
"2022","SE","Data Analyst","US","US","M"
"2022","SE","Data Analyst","US","US","M"
"2022","SE","Machine Learning Engineer","US","US","M"
"2022","SE","Machine Learning Engineer","US","US","M"
"2022","MI","Research Engineer","US","US","M"
"2022","EN","Data Analyst","CN","US","S"
"2022","SE","Data Engineer","US","US","M"
"2022","SE","Data Engineer","US","US","M"
"2022","SE","Data Engineer","US","US","M"
"2022","SE","Data Engineer","US","US","M"
"2022","SE","Data Engineer","US","US","M"
"2022","SE","Data Engineer","US","US","M"
"2022","SE","Data Operations Analyst","US","US","M"
"2022","SE","Data Operations Analyst","US","US","M"
"2022","SE","Data Engineer","US","US","M"
"2022","SE","Data Engineer","US","US","M"
"2022","MI","ML Engineer","US","US","M"
"2022","MI","ML Engineer","US","US","M"
"2022","SE","Data Engineer","US","US","M"
"2022","SE","Data Engineer","US","US","M"
"2022","SE","Data Engineer","US","US","M"
"2022","SE","Data Engineer","US","US","M"
"2022","SE","Machine Learning Engineer","US","US","M"
"2022","SE","Machine Learning Engineer","US","US","M"
"2022","SE","Data Engineer","US","US","M"
"2022","SE","Data Engineer","US","US","M"
"2022","EX","Analytics Engineer","US","US","M"
"2022","EX","Analytics Engineer","US","US","M"
"2022","EN","Data Scientist","US","US","M"
"2022","EN","Data Scientist","US","US","M"
"2022","MI","Data Analyst","US","US","M"
"2022","MI","Data Analyst","US","US","M"
"2022","SE","Data Architect","US","US","M"
"2022","SE","Data Architect","US","US","M"
"2022","SE","Data Operations Engineer","US","US","M"
"2022","SE","Data Operations Engineer","US","US","M"
"2022","SE","Data Scientist","US","US","M"
"2022","SE","Data Scientist","US","US","M"
"2022","SE","Data Engineer","US","US","M"
"2022","SE","Data Engineer","US","US","M"
"2022","SE","Data Scientist","US","US","L"
"2022","SE","Data Scientist","US","US","L"
"2022","SE","Data Analyst","ES","ES","M"
"2022","SE","Data Analyst","ES","ES","M"
"2022","SE","Data Engineer","US","US","M"
"2022","SE","Data Engineer","US","US","M"
"2022","SE","Data Engineer","US","US","M"
"2022","SE","Data Engineer","US","US","M"
"2022","SE","Data Scientist","US","US","M"
"2022","SE","Data Scientist","US","US","M"
"2021","SE","3D Computer Vision Researcher","US","US","L"
"2022","MI","Data Scientist","MX","MX","L"
"2022","MI","Analytics Engineer","BR","BR","M"
"2022","MI","Analytics Engineer","BR","BR","M"
"2022","SE","Data Engineer","US","US","M"
"2022","SE","Data Engineer","US","US","M"
"2022","SE","Data Analyst","US","US","M"
"2022","SE","Data Analyst","US","US","M"
"2022","MI","Data Engineer","BR","BR","M"
"2022","MI","Data Engineer","BR","BR","M"
"2022","SE","Data Architect","US","US","M"
"2022","SE","Data Architect","US","US","M"
